ID,Name,Industry,Description,Year Founded,Employees,State,City,Metro Area,Total Revenue,Total Expense,Total Profit
197,Kinlax,Financial Services,"Specializes in safe financial retirement planning with an emphasis on personalized service, integrity and affordability.",2002,100,AZ,Tucson,"Tucson, AZ",11474799.65,10232816.01,1241983.64
198,Inchkix,Health,"Designs healthcare services, personal health tools, public health & emergency communications and innovative interactive media.",2011,29,MA,Northampton,"Springfield, MA",10718309.89,6598872.28,4119437.61
199,Highvivalux,Consumer Products & Services,"Offers a complete range of advanced steam cleaners for home, commercial and industrial uses.",2010,16,DE,Newark,Philadelphia,7156387.19,1546072.45,5610314.74
200,Zathhow,Consumer Products & Services,Makes colorful gear and decorative home accessories for children.,2002,4,TN,Nashville,Nashville,8520458.91,6032167.23,2488291.68
201,Blacktaxon,Real Estate,An event venue development firm that owns and rents out six unique New York City properties for events of clients like Google and Ralph Lauren.,2002,11,NY,New York,New York City,17403134.36,5648698.76,11754435.6
202,Labam,Construction,Provides commercial and residential cooling and heating services including installation and maintenance.,2010,150,FL,Winter Garden,"Orlando, FL",10181244.5,6338115.18,3843129.32
203,Black-Tax,Construction,"Designs churches, government buildings, multifamily housing, commercial buildings and interiors, and educational institutions.",2012,22,MD,Columbia,Baltimore,6326922.97,4818437.86,1508485.11
204,Med-City,Retail,"Offers shape wear, girdles, cinchers, intimates and maternity garments designed to be modern, comfortable and accessible.",2009,16,IL,Cicero,Chicago,12756005.94,6900508.39,5855497.55
205,Sunviaway,Health,"Specializes in clinical research services for phase I-IV trials and registries for biopharmaceutical and medical device firms, especially those who specialize in oncology.",2014,486,NC,Morrisville,"Durham, NC",1900623.24,4845988.09,-2945364.85
206,Vaiatrax,Financial Services,"Provides services in financial management and accounting, mergers and acquisitions execution, due diligence, post-closing integration, and operations management.",2010,24,PA,Philadelphia,Philadelphia,14357654.05,1859667.85,12497986.2
207,Ganzhex,Retail,Sells ready-to-assemble and pre-assembled kitchen cabinets nationwide.,2011,18,NY,Hopewell Junction,"Poughkeepsie-Newburgh-Middletown, NY",6367694.63,2915948.35,3451746.28
208,Plexfix,Media,Provides TV and commercial film and post production crews to clients from around the globe.,2008,12,TX,Austin,Austin,8902444.77,7120883.47,1781561.31
209,Care-La,Business Products & Services,"Performs electronic discovery and review services, including forensic collection, processing, analytics, predictive coding, and managed review, for law firms, corporations, and governments.",2010,230,GA,Atlanta,Atlanta,8820350.02,3738768.32,5081581.7
210,Dongstreet,Health,"Provides onsite medical services and support all over the world. Iit has delivered health care services to the U.S. and NATO forces in Afghanistan, the World Trade Center recovery project and during response to Hurricane Katrina.",2006,236,IN,Princeton,"Evansville, IN-KY",9043321.82,8770083.99,273237.83
211,Sumtechi,Business Products & Services,Develops technology that expands the online network of recruitment advertising to connect employers and job seekers as well as the income stream of digital publishers.,2004,79,NY,New York,New York City,12993323.94,2300626.96,10692696.98
212,Hatsaotam,Computer Hardware,"Offers solid-state, full HD, digital sign and kiosk media players for the commercial digital signage market.",2011,48,CA,Los Gatos,San Jose,7709144.74,3748104.14,3961040.6
213,Mathstreet,Education,"Uses proprietary analytical marketing methods to sell educational products to consumers. Its main product line is the Pimsleur foreign language learning program. Other offerings include materials on memory enhancement, vocabulary development and photo reading.",2009,140,PA,Philadelphia,Philadelphia,12704773.58,13496649.68,-791876.09
214,Basetrax,Construction,Offers commercial general construction and construction management services.,2011,28,NY,Buffalo,"Buffalo-Niagara Falls, NY",13227324.42,1550024.56,11677299.86
215,Linetouch,Financial Services,"Offers real estate investors and buyers competitive interest rates, exceptional customer service and healthy lending practices.",2012,937,PA,Plymouth Meeting,Philadelphia,13864203.83,3256883.72,10607320.1
216,Zim-Fan,Food & Beverage,"Designs customized packages for tailgate parties that include tents, chairs, coolers, and TV and take place at its partner campuses.",2012,125,AL,Auburn,"Auburn-Opelika, AL",11055331.1,3989462.83,7065868.27
217,Jobin,Media,"Hosts a community for more than 16,000 professional and hobbyist photographers that offers tutorials, critiques, contests and opportunities to buy, sell and trade work.",2011,12,IL,Geneva,Chicago,9836344.93,7294680.85,2541664.08
218,D-Ace,Consumer Products & Services,"Provides residential house cleaning services in 12 Southeastern U.S. Cities, featuring a unique payment model where employee wages are determined by customer feedback.",2014,149,AL,Mountain Brook,"Birmingham-Hoover, AL",16793064.42,7230281.88,9562782.54
219,Ganzlux,Logistics & Transportation,"An asset-based transportation provider offering full truckload and less than truckload freight services throughout the United States and Canada. Services include temperature control, hazardous materials transport and expedited transport.",2012,40,NJ,Edison,New York City,9892198.86,6439478.48,3452720.38
220,Zenware,Health,A therapist-owned outpatient physical therapy clinic with three locations in Colorado.,2012,37,CO,Centennial,Denver,12157894.04,2037101.5,10120792.54
221,Whitefase,Engineering,"A full-service, multi-discipline engineering firm with extensive refinery, petrochemical and terminals capabilities.",2010,240,TX,Corpus Christi,Austin,10410420.75,3374115.28,7036305.47
222,Canstrip,Telecommunications,"Provides easy-to-use, multi-feature hosted audio conferencing, Web conferencing and video conferencing for businesses of all sizes.",2013,9,MA,Quincy,Boston,13619838.31,2893328.28,10726510.02
223,Duotouch,Logistics & Transportation,"A third-party logistics brokerage that arranges a wide range of transportation and freight services, including temperature controlled, dry van, drayage, and less-than-truckload.",2013,15,OH,Rocky River,Cleveland,10886682.49,4716437.24,6170245.25
224,Goodace,Manufacturing,A metals manufacturing and supply company with three plants that provide its customers in 13 industrial sectors with an array of metal processing services and products.,2012,38,MI,Dorr,"Allegan, MI",10661398.6,5691307.87,4970090.73
225,Tamqvocone,Health,"A wealth management company specializing in private equity in healthcare. It owns and manages Altus Health, whose operations include a surgical hospital, cancer centers and two freestanding emergency centers.",2013,979,TX,PEARLAND,Houston,11010168.77,6870164.63,4140004.14
226,Vivaity,Construction,Specializes in design & build construction projects and self-performing heavy civil & interior renovation for the federal government.,2009,23,WA,Lakewood,Seattle,9051412.26,3617288.25,5434124.01
227,O-Touch,Health,"Develops a population health management program that enables payers and care-delivery organizations to improve individual health and provider performance by integrating workflow, analytics, content and communication capabilities. This facilitates collaboration among healthcare stakeholders payers, providers and value-based healthcare organizations.",2005,393,TX,Frisco,Dallas,11569067.75,4636574.6,6932493.15
228,Temp-Holdings,Human Resources,"Specializes in job placement services for flexible professional jobs, such as telecommuting, freelance, part-time, flexible and alternative schedule job opportunities.",2013,13,CO,Boulder,"Boulder, CO",13029369.79,5835704.12,7193665.67
229,Flexlane,IT Services,"Develops and delivers professional services in support of SAP applications. It is a member of the SAP PartnerEdge program, and its SAP-certified CompEZ and FormsEZ enhance SAP software by increasing efficiencies and maximizing profits for customers.",2004,120,MI,Novi,Detroit,10014678.54,7178208.55,2836469.99
230,Zotcare,IT Services,Matches high impact IT and SAP professionals with quality companies to form productive teams. JDC specializes in middle and senior technology and management positions.,2005,75,GA,Atlanta,Atlanta,13851021.35,1716586.27,12134435.08
231,Triolane,Food & Beverage,A craft brewery with a focus on traditional seasonal and unique specialty beers.,2003,100,IN,Indianapolis,"Indianapolis, IN",9343271.22,4487955.88,4855315.34
232,Roundla,IT Services,"Serves government agencies, the defense community and commercial businesses in the areas of strategic consulting, managed services and health care IT.",2012,1500,MD,Bethesda,"Washington, DC",18592994.59,819083.98,17773910.61
233,Requote,Government Services,"Offers a diverse array of professional and technical services such as inspection services, facilities maintenance and staffing to federal agencies and state and local governments.",2014,61,MD,Bethesda,"Washington, DC",7336185.39,6129429.02,1206756.37
234,Tempkix,Advertising & Marketing,"Develops automated ad campaign tracking software for major online publishers like Facebook, Gawker Media and ESPN.",2011,21,CA,Poway,San Diego,10359793.31,6744014.76,3615778.55
235,Medkix,Human Resources,"Provides specialized, professional-level recruitment and staffing services in permanent positions and contract consulting. It places talent primarily in accounting & finance and IT positions.",2012,48,AZ,Phoenix,Phoenix,8309578.46,1804616.28,6504962.18
236,Toughfix,Education,"Provides demonstrations, classes and customized trainings on the topics of body language, confidence and mentoring for individuals and business groups.",2012,32,UT,South Jordan,Salt Lake City,12627699.25,1724254.96,10903444.28
237,Freshholdings,Government Services,"Provides leader development, coaching & facilitation services, training & evaluation services, professional services and business processing services to government agencies.",2010,65,FL,Orlando,"Orlando, FL",12556725.82,472310.84,12084414.98
238,Toughace,Business Products & Services,"Supplies IT equipment and office products to healthcare organizations, educational institutions and governments. It also provides system engineers and related IT services.",2012,7,OK,Claremore,"Tulsa, OK",11014379.74,7052161.36,3962218.39
239,Icezunzim,Software,A software development team for hire that builds mobile apps and the platforms that power them.,2012,14,VA,Richmond,"Richmond, VA",7487201.62,7874498.81,-387297.19
240,Damzoom,Advertising & Marketing,"A full service media buying and marketing services agency that plans, executes and manages campaigns for a diverse client roster within the B2C, B2B and non-profit verticals.",2009,15,NY,White Plains,New York City,9845575.08,3707442.2,6138132.89
241,Rank-Fix,Consumer Products & Services,"Produces large-scale group events, such as the Warrior Dash, Firefly Music Festival, Great Urban Race, The Cocoa Classic and Bacon Chase. It utilizes an in-house registration system known as RegistratioNation to register all of its event participants.",2011,95,IL,Chicago,Chicago,11001024.96,1812113.89,9188911.07
242,Hottam,Software,"A Web-based case management system designed to accommodate any practice, large or small. Services include record collection, document storage and litigation and settlement.",2011,25,IN,Indianapolis,"Indianapolis, IN",12615356.87,2393986.63,10221370.24
243,Lattechi,Retail,A family-owned discount office products supplier specializing in hard-to-find writing instruments and products that have been discontinued elsewhere.,2012,30,IL,Hickory Hills,Chicago,13829760.3,1857486.22,11972274.08
244,Citydrill,Manufacturing,"Designs, manufactures and sells high-end carbon composite products for the cycling industry. Its clients include the United Health Care Pro Cycling Team, the Santa Cruz Syndicate, Lance Armstrong and most recently, the Tour de France winner Bradley Wiggins.",2010,137,UT,Ogden,"Ogden-Clearfield, UT",12019593.73,10243688.96,1775904.77
245,It-Ity,Health,"A pharmacy benefit manager that processes and pays prescription drug claims, develops and maintains contracts with pharmacies and negotiates discounts and rebates with manufacturers.",2010,31,CA,Fresno,"Fresno, CA",10311539.88,2231360.55,8080179.32
246,Vivatam,Consumer Products & Services,A home furnishings distribution company that provides inventory services for furniture and mattress retailers.,2000,8,NV,Las Vegas,"Las Vegas-Paradise, NV",12024350.56,2348876.15,9675474.41
247,Islotfind,IT Services,"Offers change management, business process management, investment & portfolio management, application development, security services and mobile technology support.",2013,30,DC,Washington,"Washington, DC",8162308.3,2087952.33,6074355.97
248,Yearla,Software,"Provides Web and mobile app design and development with expertise in responsive, location-aware and real-time applications.",2004,31,RI,Providence,"Providence-New Bedford-Fall River, RI-MA",13431724.66,6527065.55,6904659.11
249,Dancane,Software,"Develops document management software to improve the flow of information of organizations of all sizes. Features include tools for document capture, content management, variable data printing, and web forms management.",2010,42,CT,New Haven,"New Haven-Milford, CT",10236440.62,4145022.76,6091417.86
250,Citytrax,Financial Services,Offers books and coaching on strategies to build wealth through investment with less risk.,2010,21,UT,Sandy,Salt Lake City,11370036.65,3524415.57,7845621.07
251,Y-Corporation,Advertising & Marketing,"A full-service digital agency specializing in strategy, creative, technology, marketing and film for clients of all sizes.",2013,35,CA,Los Angeles,Los Angeles,8942867.74,4563229.92,4379637.82
252,Voltstreet,Manufacturing,An optoelectronics company that produces a broad selection of LEDs and LED mounting components for sophisticated OEM and retrofit LED industrial applications.,2011,113,CA,Poway,San Diego,10109037.97,2565333.94,7543704.03
253,Sail-Lam,Government Services,"Offers IT, telecommunications, management and administrative support services to federal and state agencies.",2013,120,MD,Rockville,"Washington, DC",10731760.59,7226274.4,3505486.19
254,Gravetrax,Human Resources,"A complete, modular SaaS platform that can optimize the speed, cost-effectiveness and ease of recruiting for any company using applicant tracking, recruiter CRM and social software services.",2014,122,CA,San Mateo,San Francisco,9059347.09,3129531.06,5929816.03
255,Zotjoit,IT Services,"A business analytics consulting firm specializing in business intelligence, data warehouse and financial performance management implementations.",2012,50,MN,Bloomington,Minneapolis,10819980.04,6935299.1,3884680.93
256,Lanelex,Retail,"A retailer of grills, smokers, sauces, accessories, and everything needed for outdoor cooking.",2011,11,KS,Wichita,"Wichita, KS",11439325.92,4613100.9,6826225.02
257,Hayfan,Health,Designs software to streamline administrative functions such as EHR practice management in chiropractic offices.,2012,97,CA,San Diego,San Diego,12015783.98,5146524.48,6869259.5
258,Lacorporation,Software,"Develops software used for credit analysis, portfolio management and reporting and compliance by institutional investors in high-yield loans, bonds and alternative investments.",2011,73,CA,San Diego,San Diego,8414964.55,6886146.88,1528817.68
259,Zumma-Lane,Consumer Products & Services,"Designs and supplies home furnishings, clothing, and accessories to more than 4,000 retail stores.",2010,10,CA,San Anselmo,San Francisco,13419146.83,4720152.25,8698994.58
260,Ganjafan,Government Services,"Works with the federal government to improve the quality, value and efficiency of health care. Its core services include medical review, education and training, program management and systems integration, research and analysis, monitoring and compliance and enrollment and eligibility.",2010,215,NE,Omaha,"Omaha-Council Bluffs, NE-IA",10288128.97,6201211.6,4086917.37
261,Nimlux,Financial Services,"A global payout platform that offers a secure, compliant and cost-effective way for companies of all sizes to offer payment options, including prepaid debit cards, deposits to local banks worldwide and local-currency paper checks.",2013,285,NY,New York,New York City,7102837.17,3734757.42,3368079.75
262,D-Fincode,Advertising & Marketing,"Specializes in event production and experiential marketing. Combining traditional marketing techniques with event tactics, it uses emerging trends and cultural changes to engage consumers on an emotional level.",2014,11,NY,New York,New York City,10817247.49,5212999.22,5604248.28
263,Zummacane,Manufacturing,Manufactures printed circuit board products for contract manufacturers and original equipment manufacturers.,2013,10,CA,Arcadia,Los Angeles,5995118.48,3131699.91,2863418.58
264,Y-Way,Engineering,"Provides technical services, operational intelligence and high-end engineering services for government and commercial clients.",2011,65,VA,MANASSAS,"Washington, DC",10005145.91,2710352.03,7294793.88
265,Tonbase,Food & Beverage,"Delivers take-out meals for 500 eateries in the Northeast, including P.F. Chang's and Pinkberry. Offers gold, silver and bronze medals and cash bonuses to the 3 fastest carriers each month as well as a fleet of electric cars that increase delivery times in an environmentally-friendly manner.",2011,108,MA,Boston,Boston,11912816.71,1727686.96,10185129.75
266,Tran-It,Education,Provides college admission and career planning coaching and preparation services at 13 offices in nine states.,2013,31,CA,Carlsbad,San Diego,10276471.93,1871766.79,8404705.14
267,X-Lax,Human Resources,"Offers IT recruiting, staffing and business tax consulting in 28 states and 9 countries.",2014,0,TX,Dallas,Dallas,7377336.51,4336974.93,3040361.58
268,Dento-Fix,Advertising & Marketing,"Operates an online platform that rewards consumers for their online activities with virtual currency that they can redeem for real life rewards, goods and services.",2010,110,CA,El Segundo,Los Angeles,9180149.23,9179715.94,433.29
269,Gogofan,Construction,"Provides commercial drywall, stucco, insulation, acoustical ceilings, barricades, and millwork installation services.",2011,75,FL,Winter Garden,"Orlando, FL",9852687.75,6950369.43,2902318.31
270,Sub-Fan,Software,"A mobile software developer that builds apps for iPhone, iPad, and Android.",2014,24,MA,Boston,Boston,8842980.49,5940792.61,2902187.89
271,Scotzone,Consumer Products & Services,Manufactures and distributes retro-inspired teardrop campers sold through about 70 RV dealerships across the U.S. and Canada.,2011,7,OH,Massillon,"Canton-Massillon, OH",13679462.51,4643544.57,9035917.94
272,Mediagreen,Health,"Provides 24/7 access to nonemergency medical care via phone, secure online video, mobile app, or the company's HealthSpot stations.",2013,80,TX,Dallas,Dallas,8800068.85,924036.7,7876032.15
273,Zottex,Advertising & Marketing,A social analytics agency that conducts linguistic analysis of social media discussion and applies digital marketing expertise.,2011,6,PA,New Hope,Philadelphia,12562522.04,8354808.62,4207713.42
274,Xx-Com,Retail,Sells new and used vehicles from dealerships across West Texas.,2013,308,TX,Lubbock,"Lubbock, TX",16330717.3,2556425.45,13774291.86
275,Toughcare,Retail,An online color cosmetics company that provides high-quality makeup worldwide.,2009,45,CA,Burbank,Los Angeles,13002048.47,7095768.22,5906280.26
276,Sailbam,Telecommunications,"Develops and markets inflatable satellite communication antennas and systems that can be quickly deployed for high-bandwidth communications in remote, hard-to-reach areas. Its communications terminals have been used by US and allied military, intelligence and homeland security organizations.",2011,43,AL,Huntsville,"Huntsville, AL",10712828.42,6542696.95,4170131.46
277,Mathstrip,Government Services,"Specializes in IT consulting, IT support, application development, management consulting and a variety of financial management and consulting services for the federal government.",2011,48,VA,Reston,"Washington, DC",13382371.68,6223256.82,7159114.86
278,Vilait,Software,Provides technological performance monitoring through data collection to companies across the globe.,2011,240,DE,Wilmington,Philadelphia,6825970.31,3996507.56,2829462.74
279,Dandrill,Advertising & Marketing,"A social media, PR and display marketing agency that uses highly-focused, data-driven demographic targeting and aggressive conversion techniques for clients ranging from iconic multinationals to start-ups.",2002,24,MN,Duluth,"Duluth, MN-WI",12270443.44,3916151.81,8354291.63
280,Konkin,Health,"Distributes exercise products for the athletic and health industries. Its self-massage and myofascial compression techniques help users manage pain, unlock energy and enhance workouts.",2000,32,TX,Austin,Austin,10515085.25,963554.69,9551530.56
281,Unoline,IT Services,"Delivers Microsoft Dynamics customer relationship management services through support, education, and add-ons.",2011,140,MN,Minneapolis,Minneapolis,19200172.43,10062776.79,9137395.64
282,Indihow,Consumer Products & Services,"A general practice law firm that offers a focus in real estate, automobile accidents, personal injury, business formation and corporate law, criminal defense, domestic issues and family law, wills/estate planning and probate law, general civil law, civil litigation, and creditors' rights.",2011,70,SC,Columbia,"Columbia, SC",9643690.53,4106369.15,5537321.38
283,Truesaokix,Health,"Provides assessment and treatment for substance abuse, addiction, mental health, eating disorders, and dual diagnosis. Treatment includes psychotherapy, art and music therapy, equine therapy, and life skills and mindfulness techniques.",2010,160,CA,San Clemente,Los Angeles,14762262.69,4362156.24,10400106.46
284,Lamlax,IT Services,"Provides cyber security, engineering, and managed services to government agencies and to companies in financial services, food and beverage, and law.",2010,30,PA,Horsham,Philadelphia,12329802.97,3973062.21,8356740.76
285,Saotaxon,Software,"Performs Web, mobile, and enterprise application development, using Ruby on Rails, Java, Android, iOS, and other technologies.",2000,76,IL,Chicago,Chicago,10383761.07,6638057.82,3745703.25
286,Dentoing,Manufacturing,"Manufactures and wholesales custom audio/video products and accessories, serving the custom electronics and installation industry on a direct-to-dealer platform.",2004,164,NC,Charlotte,Charlotte,16323949.91,11438123.2,4885826.71
287,Sanzatrax,Construction,"A general contractor that performs engineering, fine grading and concrete work.",2012,49,CA,San Diego,San Diego,7442559.64,5333875.98,2108683.66
288,Geoelectronics,Software,"Develops more than 500 mobile dictionaries running on any available mobile platform, and makes OfficeSuite, a product that creates, views, edits, and saves Word, Excel, PowerPoint, and other documents.",2010,75,CA,San Diego,San Diego,13074241.25,9308408.58,3765832.67
289,Konktouch,Software,"Provides an all-in-one cloud-based internal management, sales and service marketing platform for auto dealer groups and individual auto dealerships.",2012,489,KS,Overland Park,"Kansas City, MO-KS",7092094.57,5995341.84,1096752.72
290,Trans-Dexon,Financial Services,"Specializes in foreign exchange trading technology, software, support, transaction processing services and liquidity access for institutional FX market participants.",2003,77,MA,Boston,Boston,11194578.88,4140883.49,7053695.39
291,Indigolane,Business Products & Services,"A professional services firm that provides clients with focused business attention and resource bandwidth, offering best-fit resources in project management, change management and business analysis.",2010,58,WA,Bellevue,Seattle,8899612.01,8716190.3,183421.7
292,Fintax,Advertising & Marketing,"Provides a comprehensive lead serivce package to clients that enhances their revenue potential and market position. It has developed a proprietary platform called LeadJetTM that provides the ability to quickly build, manage and improve the performance of campaigns across multiple media types.",2000,12,IL,Chicago,Chicago,8464455.07,5156283.93,3308171.14
293,Overlane,Food & Beverage,Brews craft beers that have garnered awards at the Great American Beer Festival and the enthusiasm of a growing local fan-base.,2014,24,NC,Raleigh,"Raleigh-Cary, NC",8766660.86,5190566.31,3576094.55
294,Zimholding,IT Services,"Provides nonprofits, private sector businesses and government with advanced technological services to help them run more effectively.",2002,7,OR,Portland,"Portland, OR",11203382.46,521657.63,10681724.82
295,Scot-Lex,IT Services,Provides business intelligence and data warehousing as well as IT staffing and consulting services.,2013,34,MA,Chelmsford,Boston,9694366.81,4872244.89,4822121.92
296,Lexitrans,Health,Provides medical insurance for pets.,2012,335,WA,Seattle,Seattle,10760232.22,8020509.02,2739723.2
297,Phystouch,IT Services,An IT contracting firm serving large national companies with contractors in 25 states. Its business is based almost solely on referrals.,2011,12,NC,Waxhaw,Charlotte,12376384.48,1131094.91,11245289.57
298,Trestouch,Insurance,"Specializes in underwriting commercial, auto and unique property and casualty lines.",2012,59,CA,Los Angeles,Los Angeles,13382577.08,2941976.87,10440600.21
299,Silicontrans,Business Products & Services,"Specializes in offset and digital printing, design and fulfillment services.",2011,14,TX,Plano,Dallas,10674605.93,9804401.81,870204.12
300,K-Job,IT Services,"Provides IT strategy consulting, infrastructure services, application services, and operations and support to commercial and government clients.",2013,150,VA,Reston,"Washington, DC",8420947.55,4087388.68,4333558.87
301,Santechno,Advertising & Marketing,"Specializes in online marketing with a wide range of services including analytics, eCommerce and landing page optimization.",2010,83,NJ,Mount Laurel,Philadelphia,12696930.11,6261052.64,6435877.46
302,Vilamedia,Software,"Provides software services in cross-platform optimization & collaboration, advanced data analytics & visualization and large data handling for the US Government and Fortune 500 companies.",2011,126,VA,Blacksburg,"Blacksburg-Christiansburg-Radford, VA",10865243.12,4077546.78,6787696.34
303,Bignamjob,Health,"A Joint Commission-accredited national healthcare provider, specializing in community-based care and transitioning patients from hospital to home.",2013,131,IL,Elk Grove Village,Chicago,10285500.46,7017879.99,3267620.46
304,Transcon,Food & Beverage,"Imports and distributes 1,200 wines to about 3,500 retailers and restaurants.",2013,44,NY,New York,New York City,8798410.61,5433792.84,3364617.78
305,Kayplus,Government Services,"Supports the Departments of Defense and Homeland Security with services in language translation, operations program management and training for projects in counter-terrorism, intelligence and logistics.",2010,154,FL,Clearwater,Tampa,13312288.42,6083266.23,7229022.19
306,Hottom,Software,"Fuses creative and technical expertise in mobile application development, Web development and social media to build custom software. It leverages hardware disruption, content management systems, education technology, augmented reality, gamification and user-centric design.",2011,40,MD,Baltimore,Baltimore,14297877.62,3870910.1,10426967.52
307,Voltech,Software,"Provides Salesforce professional services, tech support, business process improvement consulting and productivity apps for Salesforce on the AppExchange.",2009,23,NJ,Hamilton,"Trenton-Ewing, NJ",14004939.67,7229428.64,6775511.03
308,Lamdombase,Construction,"Builds data centers, retail and office spaces, industrial and light manufacturing facilities, and warehouse and distribution centers.",2012,7,TX,Houston,Houston,13729256.17,6659841.97,7069414.2
309,Zathtechi,Software,"Develops big data technology that integrates with promotional calendars, staffing systems, and weather services to helps retailers and manufacturers collect, analyze, and visualize in-store data and see how internal and external factors affect customers' shopping patterns.",2003,87,CA,San Jose,San Jose,8443611.56,2672484.96,5771126.6
310,Sunsaolax,Health,"A national distributor of generic prescription pharmaceuticals and over-the-counter products to independent, mail order and other types of pharmacies.",2013,15,WA,Redmond,Seattle,8717441.87,4636505.62,4080936.25
311,Zapdex,Human Resources,"A professional staffing and career development firm that specializes in locating talent that is specifically seeking high-quality, flexible work options.",2009,400,PA,fort washington,Philadelphia,11066117.34,5242241.15,5823876.19
312,Indigocon,Business Products & Services,"Manages an Internet-based contractor trade group for professionals in the electrical, solar installation, HVAC and plumbing industries.",2010,17,TX,Flower Mound,Dallas,10790903.21,2741831.59,8049071.62
313,Zamfax,Government Services,"A service-disabled, veteran-owned business that provides training, technology development, acquisitions, testing and logistics services to the DoD and other government agencies.",2012,130,FL,Fort Walton Beach,"Fort Walton Beach-Crestview-Destin, FL",12523811.22,419938.34,12103872.88
314,Tanholdings,Engineering,"Offers full-time, contract and contract-to-hire technical and professional staffing services throughout the United States.",2011,143,FL,altamonte springs,"Orlando, FL",10102041.74,6606000.17,3496041.57
315,Zer-Plus,Software,"Provides banks, credit unions and financial service providers with analytics software that improves profitability and product innovation.",2008,27,MA,Franklin,Boston,9000962.92,11564235.41,-2563272.5
316,Hexzoomity,Health,Develops medical implants and instruments used in spinal fusion treatments.,2013,11,TX,Austin,Austin,12797631.11,4639571.16,8158059.95
317,Vilahouse,Software,"Develops software for the management of industrial equipment that enables the machines to indicate when they need assistance, thus preventing disruption, loss, safety problems, or environmental incidents.",2011,12,CA,San Diego,San Diego,12081619.88,10721288.26,1360331.62
318,Lamcare,Construction,"A family-owned and operated electrical contracting company that serves the residential, commercial, and industrial markets.",1999,108,NY,Staten Island,New York City,9208196.77,6420112.6,2788084.17
319,Keytouch,Construction,"Paints apartments, high rises, shopping centers, and single-family homes, serving property managers, owners, and homeowners associations.",2013,35,CA,Vista,San Diego,14314318.82,7971449.04,6342869.77
320,Solotechi,Telecommunications,"Provides comprehensive bandwidth infrastructure services to wireline and wireless customers, data centers, Internet content providers, high-bandwidth enterprises, and government agencies across its 77,000 route mile network.",2010,1375,CO,Boulder,"Boulder, CO",9509721.04,7022545.59,2487175.44
321,Kincon,Software,"Provides supply chain design software that helps organizations worldwide design and improve their supply chain operations. Its software tools enable customers to model, optimize and simulate their supply chain operations, leading to major improvements in cost, service, sustainability and risk mitigation.",2009,130,MI,Ann Arbor,"Ann Arbor, MI",15876614,3458305.81,12418308.19
322,Tancode,IT Services,"Specializes in custom, interactive website design and development.",2014,7,NY,Farmingdale,New York City,12522055.01,6410105.77,6111949.24
323,Zumlam,Education,"Provides marketing and student enrollment services to educational institutions, earning a percentage of tuition revenue it generates.",2003,5,MA,Braintree,Boston,5628978.22,3491242.37,2137735.84
324,Dripcane,IT Services,"Provides IT, project management, and business transformation services to corporate and public sector clients.",2010,56,VA,Reston,"Washington, DC",15230980.88,2698849.97,12532130.91
325,Temptechno,Education,"An educational management company that manages four college preparatory high schools in Michigan that emphasize high academic expectations, parental involvement and a culture of personal responsibility and moral conduct for students.",2013,140,MI,Grand Rapids,"Grand Rapids-Wyoming, MI",11966484.62,5513334.54,6453150.08
326,Zimtechno,Software,Develops data protection and backup software for enterprise-level customers. Its products offer multi-destination and cross-platform backup onsite and offsite.,2006,326,MN,Minneapolis,Minneapolis,17568449.01,8468966.13,9099482.88
327,Fax-Street,Software,Provides software and consulting services to manufacturing and distribution companies.,2011,54,CA,Aliso Viejo,Los Angeles,6721207.36,8215724.09,-1494516.72
328,Lambetech,Education,"Offers customized and comprehensive live and interactive online training services for the learning and professional development market. InSync provides a combination of specialized instructional design, facilitation techniques, and content development to create training courses for the development of synchronous and blended virtual classrooms.",2006,2,CT,East Lyme,"Norwich-New London, CT",14400642.03,1760517.75,12640124.27
329,Groovetrans,Logistics & Transportation,"Provides non-asset-based transportation services including full truckload, vendor management and project management services.",2010,25,PA,Lebanon,"Lebanon, PA",7528318.29,6950827.07,577491.22
330,Freefase,Telecommunications,"Provides telecom management consulting and IT for businesses, including voice, data and security services.",2009,34,NY,New York,New York City,14612630.62,5466964.15,9145666.47
331,Domtexon,Consumer Products & Services,Makes and sells bikes that have an electric built-in motor and are sold through 40 stores.,2014,16,CA,Irvine,Los Angeles,14130322.44,5548367.29,8581955.15
332,Wareplanet,Manufacturing,A product development company that utilizes advanced technologies such as 3D printing and additive manufacturing.,2007,25,CA,Oakland,San Francisco,14346532.54,6389877.9,7956654.64
333,Scotstrip,Software,"A software design and development company that builds comprehensive, custom services for mobile and web use.",2013,77,IL,Chicago,Chicago,13711007.56,164074.32,13546933.24
334,Inchfind,Engineering,"Offers architecture and engineering consulting services, planning, renovating and designing buildings for government, healthcare, research and technology clients.",2012,26,PA,Pittsburgh,"Pittsburgh, PA",13505124.16,7910929.43,5594194.73
335,Planetholdings,Security,,2012,69,IL,Champaign,"Champaign-Urbana, IL",8705726.02,10673944.5,-1968218.48
336,Bigfan,Software,Provides DMS integration and data enhancement services for the automotive industry.,2005,96,WI,La Crosse,"La Crosse, WI-MN",12270195.49,3672128.75,8598066.74
337,Tampqvotex,Advertising & Marketing,"A full-service marketing firm that offers packaging design, social media campaigns, custom applications, and search engine ranking for diverse companies.",2013,25,CA,Irvine,Los Angeles,12395228.64,5341618.98,7053609.66
